subject,condition,studyResp,named,whichItem,trial
2,0,3,0,54,36
2,1,3,1,91,37
2,2,3,0,109,38
2,2,3,1,89,39
2,2,3,0,64,40
2,2,3,1,117,41
2,3,3,1,6,42
2,1,3,1,94,43
2,3,3,1,102,44
2,0,3,1,74,45
2,0,3,0,51,46
2,1,3,1,43,47
2,1,2,0,96,48
2,1,3,1,46,49
2,1,3,1,17,50
2,2,3,1,49,51
2,0,3,1,56,52
2,0,2,0,86,53
2,3,3,1,63,54
2,1,3,1,60,55
2,2,3,1,21,56
2,1,3,1,88,57
2,0,3,1,3,58
2,0,3,1,33,59
2,3,3,1,76,60
2,1,3,1,4,61
2,3,2,0,22,62
2,1,3,1,58,63
2,0,3,0,101,64
2,0,3,1,61,65
2,1,3,1,116,66
2,0,3,1,41,67
2,2,3,1,95,68
2,0,2,0,26,69
2,1,3,1,71,70
2,2,3,1,52,71
2,2,3,1,79,72
2,3,3,1,98,73
2,0,3,1,110,74
2,2,2,0,85,75
2,3,2,1,111,76
2,1,3,1,75,77
2,3,3,1,38,78
2,2,2,0,7,79
2,3,1,0,81,80
2,3,3,1,40,81
2,0,3,0,57,82
2,0,3,1,20,83
2,2,3,1,5,84
2,2,2,1,12,85
2,3,3,1,113,86
2,1,3,1,11,87
2,0,1,0,120,88
2,0,3,1,18,89
2,0,1,1,104,90
2,3,3,0,29,91
2,2,3,1,19,92
2,0,3,1,80,93
2,3,3,1,106,94
2,3,3,1,44,95
2,1,3,1,115,96
2,0,3,1,67,97
2,1,2,1,62,98
2,2,2,0,66,99
2,2,3,1,93,100
2,2,3,1,103,101
2,3,3,1,69,102
2,3,1,0,107,103
2,0,2,1,84,104
2,1,1,0,28,105
2,3,3,1,114,106
2,0,3,1,68,107
2,3,2,1,1,108
2,2,2,1,2,109
2,1,3,1,35,110
2,3,3,1,9,111
2,1,3,1,31,112
2,2,3,1,50,113
2,1,3,1,42,114
2,0,3,1,90,115
2,3,3,1,48,116
2,2,3,1,72,117
2,1,3,1,36,118
2,0,3,1,73,119
2,1,3,1,105,120
2,3,3,1,99,121
2,0,1,0,26,122
2,3,3,0,29,123
2,2,3,1,83,124
2,1,3,1,15,125
2,2,3,1,5,126
2,3,3,1,70,127
2,2,3,1,23,128
2,3,3,1,13,129
2,3,3,1,38,130
2,0,3,1,41,131
2,1,3,1,11,132
2,1,3,1,92,133
2,0,2,0,65,134
2,0,3,1,18,135
2,2,3,1,64,136
2,3,2,1,1,137
2,1,1,0,96,138
2,3,3,1,102,139
2,3,3,1,6,140
2,2,3,1,34,141
2,2,3,1,95,142
2,3,2,1,22,143
2,1,3,1,46,144
2,0,1,0,120,145
2,2,3,1,7,146
2,3,3,1,106,147
2,3,3,1,40,148
2,3,2,1,24,149
2,2,3,1,52,150
2,1,3,1,91,151
2,3,2,1,81,152
2,1,3,1,27,153
2,3,3,1,14,154
2,3,3,1,45,155
2,0,3,1,3,156
2,1,3,1,30,157
2,0,3,0,90,158
2,3,3,1,48,159
2,3,3,1,113,160
2,1,3,1,17,161
2,0,1,0,104,162
2,2,3,1,21,163
2,1,2,0,10,164
2,2,3,1,66,165
2,2,2,1,12,166
2,3,1,0,107,167
2,0,3,1,110,168
2,2,3,1,53,169
2,2,3,1,8,170
2,1,3,1,37,171
2,0,3,1,73,172
2,0,3,1,68,173
2,1,3,1,25,174
2,2,3,1,50,175
2,2,2,0,109,176
2,1,3,1,43,177
2,3,3,1,44,178
2,1,3,1,115,179
2,1,3,1,71,180
2,0,3,1,87,181
2,1,3,1,36,182
2,0,2,1,86,183
2,0,3,1,39,184
2,2,2,1,85,185
2,1,3,1,88,186
2,2,3,1,117,187
2,3,3,1,114,188
2,1,3,1,4,189
2,1,3,1,42,190
2,2,3,1,89,191
2,2,3,1,19,192
2,1,3,1,35,193
2,1,3,1,75,194
2,0,3,1,80,195
2,2,3,1,2,196
2,3,3,1,9,197
2,3,3,1,69,198
2,2,3,1,79,199
2,2,3,1,77,200
2,1,3,1,58,201
2,2,3,1,78,202
2,1,3,1,55,203
2,2,3,1,49,204
2,0,3,1,51,205
2,3,3,1,59,206
2,2,3,1,100,207
2,1,3,1,94,208
2,2,3,1,108,209
2,3,3,1,97,210
2,3,3,1,76,211
2,1,3,1,31,212
2,1,1,1,62,213
2,1,3,1,116,214
2,3,3,1,32,215
2,3,3,1,98,216
2,0,3,1,101,217
2,0,3,0,57,218
2,2,3,1,47,219
2,0,3,1,118,220
2,0,3,1,119,221
2,1,3,1,105,222
2,3,3,1,16,223
2,0,3,1,20,224
2,2,3,1,72,225
2,0,3,1,74,226
2,0,3,0,54,227
2,0,2,1,112,228
2,3,3,1,111,229
2,1,1,0,28,230
2,0,3,1,33,231
2,0,3,1,61,232
2,3,3,1,63,233
2,0,3,1,56,234
2,2,3,1,93,235
2,2,3,1,103,236
2,1,3,1,60,237
2,0,2,1,84,238
2,0,3,1,67,239
2,0,3,1,82,240
2,2,3,1,83,241
2,3,3,1,102,242
2,0,3,1,118,243
2,3,3,1,29,244
2,2,3,1,85,245
2,1,3,1,25,246
2,0,1,0,104,247
2,0,3,1,51,248
2,1,3,1,37,249
2,1,3,1,36,250
2,0,2,0,65,251
2,0,3,1,112,252
2,3,3,1,99,253
2,3,3,1,107,254
2,0,3,1,3,255
2,0,1,1,120,256
2,0,3,1,101,257
2,1,3,1,4,258
2,3,3,1,45,259
2,1,3,1,58,260
2,1,3,1,116,261
2,2,3,1,34,262
2,3,3,1,114,263
2,0,3,1,82,264
2,1,3,1,43,265
2,1,3,1,62,266
2,1,3,1,35,267
2,0,3,1,18,268
2,3,3,1,97,269
2,1,1,0,96,270
2,2,3,1,78,271
2,2,3,1,5,272
2,2,3,1,108,273
