subject,condition,studyResp,studyResp2,named,afc,whichItem,trial
2,3,0,0,0,1,31,107
2,2,3,NaN,0,1,129,108
2,3,0,1,1,1,160,109
2,4,3,3,1,1,37,110
2,3,0,0,0,0,146,111
2,3,1,0,1,1,196,112
2,3,1,0,1,1,50,113
2,1,99999,99999,0,1,85,114
2,4,3,3,0,1,47,115
2,2,3,3,0,1,100,116
2,1,99999,99999,0,1,54,117
2,4,1,1,0,0,108,118
2,1,99999,99999,1,1,97,119
2,3,0,1,0,1,41,120
2,2,3,NaN,1,1,118,121
2,1,99999,99999,1,1,122,122
2,1,99999,99999,0,0,80,123
2,2,3,3,0,0,61,124
2,1,99999,99999,0,1,183,125
2,1,99999,99999,0,1,24,126
2,4,1,2,0,0,99,127
2,1,99999,99999,0,0,142,128
2,3,1,1,0,1,75,129
2,1,99999,99999,1,1,104,130
2,3,1,0,0,1,11,131
2,4,2,3,0,1,184,132
2,4,2,2,0,0,198,133
2,2,3,NaN,1,1,5,134
2,2,3,3,1,1,195,135
2,4,1,1,0,1,132,136
2,4,3,3,1,1,121,137
2,4,3,3,1,1,103,138
2,3,1,1,0,1,161,139
2,2,3,3,0,1,105,140
2,3,0,0,1,1,177,141
2,2,3,NaN,0,0,200,142
2,1,99999,99999,0,1,150,143
2,4,3,3,1,1,67,144
2,2,3,3,0,1,17,145
2,2,3,3,1,1,114,146
2,1,99999,99999,0,1,10,147
2,1,99999,99999,0,0,39,148
2,1,99999,99999,0,1,116,149
2,3,1,1,0,1,43,150
2,2,3,3,0,1,131,151
2,3,1,1,0,1,57,152
2,3,0,0,0,1,175,153
2,3,1,1,1,1,119,154
2,4,3,3,1,1,71,155
2,2,3,3,0,1,55,156
2,3,0,1,0,0,87,157
2,2,2,NaN,0,0,188,158
2,4,2,2,1,1,156,159
2,2,3,NaN,1,1,18,160
2,1,99999,99999,0,1,137,161
2,3,1,1,0,1,136,162
2,4,3,3,1,1,35,163
2,2,3,NaN,0,1,117,164
2,3,0,0,0,1,72,165
2,4,3,3,1,1,2,166
2,3,0,0,0,0,1,167
2,4,3,3,1,1,23,168
2,3,1,1,0,0,20,169
2,3,1,1,1,1,155,170
