subject,condition,studyResp,named,whichItem,trial
2,2,2,0,98,182
2,2,0,0,137,183
2,1,0,0,72,184
2,2,0,0,3,185
2,2,3,1,124,186
2,4,0,1,46,187
2,2,0,0,17,188
2,4,0,1,153,189
2,1,0,0,105,190
2,3,3,1,37,191
2,3,2,0,91,192
2,4,2,0,58,193
2,3,0,0,20,194
2,4,1,0,16,195
2,4,0,0,62,196
2,3,1,0,188,197
2,3,0,0,107,198
2,2,1,0,57,199
2,4,1,0,34,200
3,3,2,0,9,1
3,1,1,1,20,2
3,1,1,1,37,3
3,1,1,0,67,4
3,3,1,0,126,5
3,4,2,0,196,6
3,4,2,1,54,7
3,3,1,0,186,8
3,3,2,0,181,9
3,4,2,1,177,10
3,2,2,1,200,11
3,3,1,1,114,12
3,4,3,0,64,13
3,2,3,1,79,14
3,3,3,1,87,15
3,4,3,1,69,16
3,1,1,0,96,17
3,4,2,1,117,18
3,4,3,1,82,19
3,4,2,1,84,20
3,2,2,0,10,21
3,4,1,1,65,22
3,4,2,1,46,23
3,2,2,0,55,24
3,4,2,0,91,25
3,4,3,1,119,26
3,2,1,0,135,27
3,1,1,0,98,28
3,4,1,1,27,29
3,1,3,1,12,30
3,3,1,0,4,31
3,1,1,0,150,32
3,1,1,0,66,33
3,4,2,0,107,34
3,2,2,0,80,35
3,4,2,0,143,36
3,1,1,1,33,37
3,1,1,0,180,38
3,3,1,1,36,39
3,2,2,1,134,40
3,4,1,0,21,41
3,2,NaN,0,153,42
3,3,1,1,16,43
3,3,2,0,1,44
3,2,3,1,112,45
3,4,2,0,158,46
3,1,1,0,189,47
3,1,2,1,151,48
3,3,3,1,194,49
3,1,1,0,41,50
3,1,1,0,187,51
3,2,3,1,140,52
3,4,1,0,193,53
3,3,3,1,57,54
3,4,3,1,104,55
3,2,2,1,13,56
3,3,1,1,162,57
3,3,3,1,74,58
3,1,1,0,68,59
3,4,1,1,129,60
3,4,1,0,178,61
3,2,2,1,195,62
3,4,2,1,31,63
3,3,2,1,157,64
3,3,2,1,175,65
3,2,1,0,24,66
3,3,3,1,118,67
3,4,3,1,19,68
3,2,1,0,160,69
3,4,2,0,73,70
3,4,2,1,144,71
3,2,2,0,56,72
3,3,1,0,122,73
3,3,1,1,8,74
3,3,1,1,132,75
3,3,2,1,173,76
3,1,1,1,130,77
3,2,2,1,133,78
3,2,2,1,51,79
3,1,1,0,116,80
3,2,2,1,88,81
3,2,1,1,63,82
3,3,1,1,29,83
3,2,1,1,44,84
3,4,1,0,108,85
3,2,3,0,85,86
3,4,2,0,28,87
3,2,1,1,185,88
3,4,1,0,22,89
3,2,1,0,168,90
3,3,1,0,164,91
3,2,1,0,40,92
3,3,1,0,100,93
3,3,1,1,199,94
3,4,2,0,145,95
3,3,1,0,125,96
3,2,1,1,101,97
3,2,2,0,111,98
3,3,3,1,95,99
3,1,1,1,123,100
3,3,1,0,184,101
3,2,2,1,120,102
3,4,1,0,34,103
3,4,1,1,182,104
3,1,1,0,94,105
3,3,3,1,155,106
3,4,1,0,110,107
3,3,3,1,124,108
3,4,3,1,166,109
3,4,2,0,148,110
3,1,1,0,102,111
3,2,3,1,170,112
3,1,1,0,7,113
3,2,1,0,76,114
3,2,2,0,30,115
3,1,2,0,90,116
3,4,1,0,163,117
3,2,2,1,138,118
3,3,1,0,71,119
3,1,NaN,0,106,120
3,2,2,1,103,121
3,1,2,0,169,122
3,2,2,0,191,123
3,1,2,0,167,124
3,3,1,0,53,125
3,1,1,1,183,126
3,3,1,0,147,127
3,1,1,0,105,128
3,3,3,1,176,129
3,2,1,0,15,130
3,3,3,1,47,131
3,1,1,0,77,132
3,4,2,1,86,133
3,4,1,0,6,134
3,3,2,1,59,135
3,2,2,1,35,136
3,3,1,0,70,137
3,1,2,0,58,138
3,2,3,1,49,139
3,1,1,0,83,140
3,4,1,0,62,141
3,1,1,0,3,142
3,4,3,1,136,143
3,1,1,1,5,144
3,4,1,0,137,145
3,1,2,1,81,146
3,4,2,0,61,147
3,3,1,1,50,148
3,3,3,0,179,149
3,1,1,0,11,150
3,4,1,0,127,151
3,3,1,0,89,152
3,1,1,0,26,153
3,2,1,1,198,154
3,1,1,0,99,155
3,2,1,0,161,156
